old_component,old_name,new_name
flooding_cell_properties,ground_height,flooding.ground_height
flooding_cell_properties,manning_coefficient,flooding.manning_coefficient
flooding_cell_properties,ucx,flooding.ucx
flooding_cell_properties,ucy,flooding.ucy
flooding_cell_properties,water_height,flooding.water_height
,,
hydrological_properties,source_flux,flooding.source_flux
,,
hydrological_construct_properties,breached,flooding.breached
hydrological_construct_properties,to_dataset_name,connection.to_dataset
,,
pipe_properties,diameter,shape.diameter
,,
water_junction_properties,base_demand,hydrological.base_demand
water_junction_properties,pressure,hydrological.pressure
water_junction_properties,pattern_id,hydrological.pattern_id
,,
water_reservoir_properties,head,hydrological.head
,,
water_tank_properties,level,hydrological.level
water_tank_properties,min_level,hydrological.min_level
water_tank_properties,max_level,hydrological.max_level
water_tank_properties,diameter,shape.diameter
water_tank_properties,min_vol,hydrological.min_vol
water_tank_properties,volume_curve_id,hydrological.volume_curve_id
water_tank_properties,pressure,hydrological.pressure
,,
water_pipe_properties,roughness,hydrological.roughness
water_pipe_properties,minor_loss,hydrological.minor_loss
water_pipe_properties,status,hydrological.status
water_pipe_properties,flowrate,hydrological.flowrate
water_pipe_properties,length,shape.length
,,
water_curve_properties,curve_points,hydrological.curve_points
,,
water_pump_properties,type,hydrological.type
water_pump_properties,head_curve_id,hydrological.head_curve_id
water_pump_properties,power,hydrological.power
water_pump_properties,speed,hydrological.speed
water_pump_properties,pattern_id,hydrological.pattern_id
,,
water_valve_properties,type,hydrological.type
water_valve_properties,diameter,hydrological.diameter
water_valve_properties,minor_loss,hydrological.minor_loss
water_valve_properties,pressure_setting,hydrological.pressure_setting
water_valve_properties,flow_setting,hydrological.flow_setting
water_valve_properties,tcv_setting,hydrological.tcv_setting
water_valve_properties,curve_id,hydrological.curve_id
,,
water_pattern_properties,pattern_points,hydrological.pattern_points
,,
poi_properties,has_power,operational.has_power
poi_properties,water_depth,flooding.water_depth
,,
people_properties,number_of_people,people.count
people_properties,people_connected_to_antenna,antennas.connected_people
,,
hacking_properties,status,hacking.status
hacking_properties,to_dataset_type,hacking.to_dataset_type
hacking_properties,effect_radius,hacking.effect_radius
,,
marker_properties,scale,marker.scale
marker_properties,context,marker.context
marker_properties,type,marker.type
marker_properties,angle,marker.angle
marker_properties,color,marker.color
,,
impact_properties,total_road_length,impact.total_road_length
impact_properties,no_capacity_road_length,impact.no_capacity_road_length
impact_properties,limited_capacity_road_length,impact.limited_capacity_road_length
impact_properties,full_capacity_road_length,impact.full_capacity_road_length
impact_properties,shops_without_power,impact.shops_without_power
impact_properties,offices_without_power,impact.offices_without_power
impact_properties,industries_without_power,impact.industries_without_power
impact_properties,total_businesses_without_power,impact.total_businesses_without_power
impact_properties,people_without_power,impact.people_without_power
impact_properties,households_without_power,impact.households_without_power
impact_properties,total_customers_without_power,impact.total_customers_without_power
impact_properties,cidi_in_min,impact.cidi.minutes
impact_properties,saidi_in_min,impact.saidi.minutes
impact_properties,dso_cost,impact.dso_cost
impact_properties,flooded_businesses,impact.flooded_businesses
impact_properties,flooded_people,impact.flooded_people
impact_properties,estimated_fatalities_by_flooding,impact.estimated_fatalities_by_flooding
impact_properties,flooded_houses,impact.flooded_houses
impact_properties,residential_property_at_risk_by_flooding,impact.residential_property_at_risk_by_flooding
impact_properties,people_without_telecom,impact.people_without_telecom
impact_properties,required_flow,impact.required_flow
impact_properties,flow_total,impact.flow_total
impact_properties,flow_road,impact.flow_road
impact_properties,flow_rail,impact.flow_rail
impact_properties,flow_waterway,impact.flow_waterway
,,
battery_properties,charge,battery.charge
battery_properties,max_life,battery.max_life
battery_properties,power_source,battery.power_source
,,
building_status_properties,water_depth,flooding.water_depth
building_status_properties,evacuation_time,evacuation.time
building_status_properties,has_power,operational.has_power
,,
building_properties,average_base_height,building.average_base_height
building_properties,relative_building_height,building.relative_building_height
,,
road_segment_properties,layout,transport.layout
road_segment_properties,max_speed,transport.max_speed
,,
traffic_properties,vehicles,transport.vehicle_count
traffic_properties,max_vehicles,transport.max_vehicles
traffic_properties,flow,transport.flow
traffic_properties,max_flow,transport.max_flow
traffic_properties,average_time,transport.average_time
traffic_properties,average_speed,transport.average_speed
,,
traffic_node_properties,traffic_sink,transport.traffic_sink
traffic_node_properties,traffic_source,transport.traffic_source
,,
weather_properties,temperature,weather.temperature
weather_properties,min_temp,weather.min_temp
weather_properties,max_temp,weather.max_temp
weather_properties,type,weather.type
weather_properties,wind_speed,weather.wind_speed
weather_properties,wind_direction,weather.wind_direction
weather_properties,humidity,weather.humidity
weather_properties,air_pressure,weather.air_pressure
weather_properties,visibility,weather.visibility
weather_properties,uv_index,weather.uv_index
weather_properties,rain_chance,weather.rain_chance
weather_properties,precipitation,weather.precipitation
,,
routing_properties,next_id,routing.next_id
routing_properties,last_id,routing.last_id
routing_properties,time,transport.average.time
transport_properties,max_speed,transport.max_speed
,,
pollution_properties,co2_day_m,pollution.co2_day_m
pollution_properties,co2_day,pollution.co2_day
pollution_properties,co2_day_rail,pollution.co2_day_rail
pollution_properties,co2_day_road,pollution.co2_day_road
pollution_properties,co2_day_waterway,pollution.co2_day_waterway
pollution_properties,co2_container,pollution.co2_container
pollution_properties,co2_container_rail,pollution.co2_container_rail
pollution_properties,co2_container_road,pollution.co2_container_road
pollution_properties,co2_container_waterway,pollution.co2_container_waterway
pollution_properties,co2_total,pollution.co2_total
